chromosome	position	sigma	logBFs	alpha	beta
chrI	3049	-0.0129154	-1.57228	5229.56	5297.98
chrI	3056	-0.0184936	-2.37067	5312.73	5412.84
chrI	3141	-0.00926782	-1.08498	5035.45	5082.55
chrI	3208	0.0124607	0.992284	2501.45	2470.67
chrI	3279	0.00505189	0.644487	6472.89	6440.35
chrI	3311	0.00318202	0.359613	5221.69	5205.13
chrI	3313	0.00304889	0.383212	6413.84	6394.34
chrI	3328	0.0440958	6.41628	4730.11	4530.34
chrI	3376	-0.0288391	-4.46249	5971.43	6148.75
chrI	3382	-0.000630604	-0.0797477	5162.88	5166.13
chrI	6556	-0.0489495	-10.2251	6133.46	6449.15
chrI	6673	-0.0536228	-11.5899	5914.1	6249.2
chrI	6694	0.0684892	11.5077	4244.72	3972.64
chrI	6827	-0.0116169	-1.41642	5323.72	5386.29
chrI	6972	-0.0124857	-1.49827	5115.65	5180.33
chrI	7011	0.0709524	12.1341	4227.75	3947.65
chrI	7014	0.0633753	10.2167	4262.34	4008.31
chrI	7076	-0.033707	-5.40129	5721.05	5920.62
chrI	8563	0.00101958	0.11094	5287.8	5282.41
chrI	8570	-0.0058667	-0.706049	5432.04	5464.09
chrI	10417	-0.0229063	-3.00708	5147.12	5267.78
chrI	11102	0.0231791	2.99254	5361.64	5240.18
chrI	11224	-0.0132237	-1.60381	5174.01	5243.34
chrI	27914	-0.0594354	-12.7421	5347.78	5685.71
chrI	27970	-0.0716214	-17.0809	5094.51	5487.53
chrI	27983	-0.0720776	-17.2787	5093.69	5489.35
chrI	28027	-0.0605129	-13.0541	5301.17	5642.62
chrI	28068	-0.0675808	-15.8235	5270.31	5652.3
chrI	28181	-0.0408845	-6.78289	5260.02	5484.24
chrI	28185	-0.0453034	-7.91531	5213.12	5460.5
chrI	28196	-0.036176	-5.70526	5343.49	5544.05
chrI	28203	-0.0480727	-8.72127	5220.2	5483.82
chrI	28227	-0.055179	-10.8429	5140	5440.19
chrI	28302	-0.0456352	-8.18468	5361.18	5617.54
chrI	28310	-0.0453605	-8.23355	5470.08	5729.99
chrI	28314	-0.042293	-7.4109	5514.84	5758.38
chrI	28321	0.0781873	14.4246	4308.51	3996.07
chrI	28556	0.0765479	13.7307	4234.4	3933.31
chrI	28601	-0.0462694	-8.27985	5288.2	5544.75
chrI	28635	-0.0543237	-10.7517	5255.27	5557.16
chrI	28715	-0.086584	-23.7132	4937.76	5405.82
chrI	28719	-0.089464	-24.9554	4873.54	5352.39
chrI	28745	-0.0885763	-24.8275	4949.98	5431.05
chrI	28793	-0.074788	-18.3674	5053.04	5461.5
chrI	28798	-0.0653187	-14.5333	5127.06	5485.35
chrI	28812	0.029103	3.36872	4152.01	4034.59
chrI	28926	-0.0382943	-6.12988	5248.86	5457.86
chrI	28930	-0.0418082	-7.13744	5375.02	5609.54
chrI	29036	-0.0692964	-15.7815	4984.74	5355.88
